name,points
Lists - Introducing Lists,20
Lists - Building New Lists,20
Lists - Using break to end a loop early,20
"Lists - Getting elements at a position, range(), and len()",20
Lists - Exercises with range() and len(),20
Lists - Terminology: Calling functions and methods,20
Lists - Functions and Methods for Lists,20
Lists - More List Functions and Methods,20
Lists - String Methods and Immutability,20
"Lists - How to Find Information with Google, and more",20
Lists - Understanding Programs With Python Tutor,20
"Lists - == vs is, and Having Multiple Names for One Value",20
Lists - Modifying While Iterating,20
A Bit More About Strings - Single and Double Quotes in Strings,20
A Bit More About Strings - f-strings,20
Nested Loops - Introducing Nested Loops,20
Nested Loops - Understanding Programs with birdseye,20
Nested Loops - Introducing Nested Lists,20
Nested Loops - Looping Over Nested Lists,20
Functions - Defining Functions,20
Functions - Calling Functions Within Functions,20
Functions - Returning Values From Functions,20
Functions - Testing Functions,20
Functions - return ends the function call,20
Boolean Operators - Introducing or,20
Boolean Operators - Introducing and,20
Boolean Operators - Multi-line statements,20
Boolean Operators - Combining and and or,20
Boolean Operators - Introducing not,20
Tic Tac Toe Project - Checking the board for winners,20
"Tic Tac Toe Project - The newline character, format_board",20
Tic Tac Toe Project - Types,20
Tic Tac Toe Project - Interactive Programs with input(),20
Tic Tac Toe Project - Nested List Assignment: Playing Moves on the Board,20
Tic Tac Toe Project - Making the Board,20
Tic Tac Toe Project - The Full Tic-Tac-Toe Game,20
Dictionaries - Introducing Dictionaries,20
Dictionaries - Using Dictionaries in Practice,20
Dictionaries - Iterating over Dictionary Keys,20
Dictionaries - Creating Key-Value Pairs,20
